QUE_BUTTON_RESP	QUE_BUTTON_RT	BLOCK_INDEX	TRIAL_INDEX	SENT_BUTTON_RESP	SENT_BUTTON_RT	exp	item	verbtype	nountype	pptype	determiner	subjnumber	quant	entailment	sent	compq	correctans	incorrectans	leftans	rightans	c_bal
Left	1131151.87	2	11	-1	 7452.68	Sturt	45	NA	NA	conjunct	the	pl	NA	NA	"It was to^ Ryan and Mary^ that^ the^ very inspiring^ leaders^ urged^ the pilgrims^ to admit^ their fears."	"What did the leaders want the pilgrims to admit?"	"Their fears"	"Their guilt"	"Their fears"	"Their guilt"	1
Right	1143432.56	2	12	-1	 7050.17	Sturt_filler	28	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the climbers demonstrated the high-tech new shoes."	"Were the climbers' shoes old and ratty?"	No	Yes	Yes	No	1
Right	1157351.27	2	13	-1	 6972.07	Sturt	3	NA	NA	conjunct	demonstrative	pl	NA	NA	"It was to^ Jim and Jane^ that^ these^ sophisticated Spanish^ ladies^ persuaded^ the teenagers^ to disclose^ their fashion secrets."	"Who had fashion secrets?"	"The teenagers"	"The ladies"	"The ladies"	"The teenagers"	1
-1	    0.00	2	14	-1	    0.00	Sturt_filler	6	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the soldiers had to demonstrate their undying loyalty."	"Who did the soldiers show loyalty to?"	"Each other"	"The commander"	"The commander"	"Each other"	1
Left	1212760.31	2	15	-1	 3111.36	Enrich	2	neutral	entity	NA	NA	NA	NA	NA	"The experienced soldier^ observed^ the trench^ as per his orders."	"Was the soldier experienced?"	Yes	No	Yes	No	1
Left	1224911.95	2	16	-1	 4819.12	Hartshorne_filler-DE-onlysome	47	NA	NA	NA	NA	NA	NA	NA	"If Mason cut only some of the vegetables that will go in the soup, then it will be a major choking hazard."	"What are the vegetables for?"	Soup	Salad	Soup	Salad	1
Left	1239870.85	2	17	-1	 8407.99	Sturt	14	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ very helpful^ tutor^ expected^ the administrators^ to explain^ the complicated requirements."	"Who was supposed to explain the requirements?"	Administrators	"The tutor"	"The tutor"	Administrators	1
Left	1256687.39	2	18	-1	10905.02	Sturt	23	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Joan and Katty^ that^ this^ quite tasteless^ designer^ wanted^ the stylists^ to suggest^ some hair styling tips."	"What was the sentence about?"	"Hair style"	"Online gaming"	"Hair style"	"Online gaming"	1
Right	1266160.50	2	19	-1	 3515.52	Hartshorne	30	NA	NA	NA	NA	NA	onlysome	DE	"If^ Aidan watched^ only some of^ the episodes^ from the show's final season,^ then^ the rest^ he can catch on DVD."	"Will the show ever come out on DVD?"	Yes	No	No	Yes	1
Left	1276616.57	2	20	-1	 4635.63	Hartshorne	34	NA	NA	NA	NA	NA	onlysome	DE	"If^ Gabrielle acquired^ only some of^ the shares^ as a result of the new deal,^ then^ the rest^ still belong to Hank."	"Is Gabrielle a prehistoric human?"	"Probably not"	Yes	"Probably not"	Yes	1
Left	1287039.36	2	21	-1	 3895.83	Enrich	17	intension	event	NA	NA	NA	NA	NA	"The hungry athlete^ fancied^ a meal^ but had to go to the gym."	"Did somebody fancy a meal?"	Yes	No	Yes	No	1
Right	1335952.31	2	22	-1	 5989.37	Sturt	28	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ experienced pediatric^ surgeons^ expected^ the nurses^ to explain^ the complex procedures."	"Were the nurses expected to do anything?"	Yes	No	No	Yes	1
Left	1346056.06	2	23	-1	 3735.20	Hartshorne	2	NA	NA	NA	NA	NA	onlysome	DE	"If^ Austin visited^ only some of^ the colleges^ that he might attend,^ then^ the rest^ he must evaluate sight unseen."	"Who was visiting colleges?"	Austin	Sally	Austin	Sally	1
Right	1354511.89	2	24	-1	 2502.28	Hartshorne_filler-DE-all	71	NA	NA	NA	NA	NA	NA	NA	"If Amanda recognized all of the exhibits at the museum, then she would go home."	"Where were the exhibits?"	Museum	"Art gallery"	"Art gallery"	Museum	1
Right	1366408.15	2	25	-1	 3545.36	Sturt_filler	25	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the skaters showed off their sick moves."	"Were the skaters showing off?"	Yes	No	No	Yes	1
Left	1416535.72	2	26	-1	 6597.17	Sturt	39	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Mike and Kurt^ that^ this^ jaded old^ general^ ordered^ the soldiers^ to give^ their remaining rations."	"Were there leftover rations?"	Yes	No	No	Yes	1
Right	1425616.32	2	27	-1	 4911.80	Hartshorne_filler-UE-all	55	NA	NA	NA	NA	NA	NA	NA	"Carter escaped all of his pursuers by running along the river, and they gnashed their teeth in anger."	"Was Carter being chased?"	Yes	No	No	Yes	1
Right	1436976.44	2	28	-1	 4171.56	Hartshorne	28	NA	NA	NA	NA	NA	onlysome	UE	"Larry established^ only some of^ the programs^ for research over the summer,^ and^ the rest^ are left for Mary."	"Are Larry and Mary setting up winter research programs?"	No	Yes	Yes	No	1
Right	1450919.72	2	29	-1	 7172.82	Sturt	54	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ long downtrodden^ peasant^ begged^ the patriarchs^ to show^ some compassion."	"Were fiefdoms mentioned in this sentence?"	No	Yes	No	Yes	1
Left	1460672.55	2	30	-1	 2771.70	Enrich	6	event	entity	NA	NA	NA	NA	NA	"The audience members^ preferred^ the performer^ that had been winning awards recently."	"Who preferred the performer?"	"The audience members"	"The casting director"	"The audience members"	"The casting director"	1
Left	1471880.06	2	31	-1	 5899.88	Enrich	13	event	event	NA	NA	NA	NA	NA	"The recent victim^ expected^ a robbery^ but the police ignored him."	"What did the recent victim do?"	"Expected a robbery"	"Wrote a report"	"Expected a robbery"	"Wrote a report"	1
Right	1488288.43	2	32	-1	 9752.12	Hartshorne_filler-DE-none	82	NA	NA	NA	NA	NA	NA	NA	"If Laura assumed none of the rumors about the mayor were true, then she would have no reason not to vote for him."	"Were there rumors about the mayor?"	Yes	No	No	Yes	1
Left	1510167.16	2	33	-1	17206.26	Hartshorne	6	NA	NA	NA	NA	NA	onlysome	DE	"If^ Cameron minded^ only some of^ the children^ who were playing in the garden,^ then^ the rest^ were watched by Joseph."	"Who was playing in the garden?"	"The children"	"The dogs"	"The children"	"The dogs"	1
Left	1518455.54	2	34	-1	 2647.60	Hartshorne_filler-UE-none	62	NA	NA	NA	NA	NA	NA	NA	"Sarah extended none of the deadlines, and the students nearly rose up in open revolt."	"How did the students feel about the deadlines?"	Upset	Fine	Upset	Fine	1
Right	1527231.28	2	35	-1	 3600.69	Hartshorne_filler-UE-none	61	NA	NA	NA	NA	NA	NA	NA	"Sara replaced none of the windows that broke in the storm, and the house remained a wreck."	"Was the house unaffected by the storm?"	No	Yes	Yes	No	1
Left	1537319.20	2	36	-1	 5414.41	Hartshorne_filler-DE-onlysome	41	NA	NA	NA	NA	NA	NA	NA	"If Taylor drew only some of the pictures that are hanging on the wall, then what was he doing all semester?"	"Who drew some of the pictures?"	Taylor	Stephanie	Taylor	Stephanie	1
Left	1547238.99	2	37	-1	 4720.88	Hartshorne	18	NA	NA	NA	NA	NA	onlysome	DE	"If^ Luis developed^ only some of^ the plan^ before he left for vacation,^ then^ the rest^ must be developed by Henry."	"Who is in charge of finishing the plan?"	Henry	Annie	Henry	Annie	1
Right	1557712.20	2	38	-1	 3814.70	Sturt	46	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ rightfully angry^ protestor^ urged^ the politicians^ to disclose^ their campaign finances."	"What did the protestor want the politicians to disclose?"	"Their finances"	"Their voting records"	"Their voting records"	"Their finances"	1
Right	1569504.40	2	39	-1	 6061.92	Sturt_filler	34	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the photographers wanted to complain about the new cameras."	"What did the photographers complain about?"	"The cameras"	"The blackroom"	"The blackroom"	"The cameras"	1
Right	1580408.37	2	40	-1	 4925.48	Hartshorne	48	NA	NA	NA	NA	NA	onlysome	UE	"William called^ only some of^ the donors^ that funded his project,^ and^ the rest^ will receive a card."	"Was William's project funded by donors?"	Yes	No	No	Yes	1
Right	1587599.42	2	41	-1	 2706.27	Hartshorne	11	NA	NA	NA	NA	NA	some	DE	"If^ Trinity encouraged^ some of^ the pupils^ to try their best,^ then^ the rest^ still need encouragement."	"Does Trinity have pupils?"	Yes	No	No	Yes	1
Left	1598088.37	2	42	-1	 5189.97	Hartshorne_filler-DE-none	78	NA	NA	NA	NA	NA	NA	NA	"If Nancy set up none of the samples on the table, then she could not have been the one to contaminate them."	"Where were the samples?"	"On the table"	"In storage"	"On the table"	"In storage"	1
Left	1675831.19	3	43	-1	 3192.63	Hartshorne_filler-UE-onlysome	31	NA	NA	NA	NA	NA	NA	NA	"Alexis drank only some of the water because she had to ration it, and she was parched all day."	"What did Alexis drink?"	Water	"Hot chocolate"	Water	"Hot chocolate"	1
Left	1699784.20	3	44	-1	17809.50	Sturt_filler	23	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the newscasters needed to report the scandal."	"Was this sentence about a scandal?"	Yes	No	Yes	No	1
Left	1712128.15	3	45	-1	 6865.46	Sturt_filler	38	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the clinicians expressed their disagreement with the new hospital policy."	"Did the clinicians agree with the policy?"	No	Yes	No	Yes	1
Left	1721752.22	3	46	-1	 3468.20	Hartshorne	29	NA	NA	NA	NA	NA	some	UE	"Arianna dug^ some of^ the holes^ in the neighbours' flower garden,^ and^ the rest^ were dug by Scott."	"Whose flower garden were Arianna and Scott working on?"	"Their own"	"Their neighbours'"	"Their neighbours'"	"Their own"	1
Left	1732871.81	3	47	-1	 3252.57	Hartshorne_filler-UE-some	3	NA	NA	NA	NA	NA	NA	NA	"Ava bore some of the responsibility for the rather unfortunate mishap, and she will face the consequences."	"Was Ava responsible for a rousing success?"	No	Yes	No	Yes	1
Right	1746656.63	3	48	-1	 6851.71	Hartshorne_filler-UE-none	64	NA	NA	NA	NA	NA	NA	NA	"Juan worked none of the cases that are now being appealed, and doesn't want anything to do with them now, either."	"Is Juan going to get involved with the cases?"	No	Yes	Yes	No	1
Right	1760872.25	3	49	-1	 7845.48	Sturt	41	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Alex and Lyle^ that^ the^ old military^ officer^ ordered^ the recruits^ to read^ the initiation oath."	"Who had to read the oath?"	"The recruits"	"Alex and Lyle"	"Alex and Lyle"	"The recruits"	1
Left	1775751.94	3	50	-1	 9469.05	Hartshorne_filler-UE-onlysome	32	NA	NA	NA	NA	NA	NA	NA	"Danielle invited only some of the kids over to he house, and her mum chided her for not being more inclusive."	"Who scolded Danielle?"	"Her mother"	"Her father"	"Her mother"	"Her father"	1
Right	1786552.51	3	51	-1	 4623.43	Hartshorne	7	NA	NA	NA	NA	NA	some	DE	"If^ Kaylee shared^ some of^ her secrets^ with her closest disciples,^ then^ the rest^ we will never know."	"Does Kaylee have disciples?"	Yes	No	No	Yes	1
Right	1794855.20	3	52	-1	 2565.34	Enrich	15	neutral	event	NA	NA	NA	NA	NA	"The stressed housewife^ watched^ her show^ and settled in for the weekend."	"What did the stressed housewife do?"	"Watched her show"	"Drank some wine"	"Drank some wine"	"Watched her show"	1
Right	1814824.11	3	53	-1	10108.51	Sturt	9	NA	NA	conjunct	the	sg	NA	NA	"It was to^ Bill and Joe^ that^ the^ very upset^ labourer^ requested^ the managers^ to admit^ their mistakes."	"Was the labourer happy?"	No	Yes	Yes	No	1
Right	1835367.89	3	54	-1	12426.59	Hartshorne_filler-DE-onlysome	45	NA	NA	NA	NA	NA	NA	NA	"If Landon paid only some of his bills before leaving for vacation, then his utilities might get shut off."	"Who is in charge of paying the bills?"	Landon	Dillon	Dillon	Landon	1
Left	1874568.20	3	55	-1	 3467.26	Enrich	11	intension	event	NA	NA	NA	NA	NA	"The lonely minister^ requested^ a funeral^ and then returned to the chapel."	"Where did the minister go?"	"To the chapel"	"To his home"	"To the chapel"	"To his home"	1
Right	1889392.48	3	56	-1	 8931.16	Hartshorne	16	NA	NA	NA	NA	NA	onlysome	UE	"Jordan kept^ only some of^ the documents^ in the secured facility,^ and^ the rest^ were probably stolen by spies."	"Are there people who want to get their hands on the documents?"	Yes	No	No	Yes	1
Right	1898728.56	3	57	-1	 3825.80	Hartshorne	43	NA	NA	NA	NA	NA	some	DE	"If^ Thomas bought^ some of^ the items^ that Alfred had requested,^ then^ the rest^ are still available."	"Was this sentence about people named Alfred and Thomas?"	Yes	No	No	Yes	1
Right	1911176.57	3	58	-1	 3477.08	Enrich	32	neutral	entity	NA	NA	NA	NA	NA	"The head accountant^ remembered^ a check^ and let her team know about it."	"Was this sentence about somebody reviewing a ledger?"	No	Yes	Yes	No	1
Left	1925592.30	3	59	-1	 9420.19	Sturt	10	NA	NA	reciprocal	demonstrative	pl	NA	NA	"It was to^ each other^ that^ these^ extremely talented^ actresses^ wanted^ the assistants^ to read^ the scripts aloud."	"What did the actresses want the assistants to do?"	Read	Write	Read	Write	1
Left	1935952.61	3	60	-1	 3513.60	Enrich	29	intension	event	NA	NA	NA	NA	NA	"The inexperienced athlete^ needed^ a marathon^ because of the coach's advice."	"Was this sentence about somebody quitting running?"	No	Yes	No	Yes	1
Left	1947839.89	3	61	-1	 6654.23	Hartshorne	27	NA	NA	NA	NA	NA	some	DE	"If^ Deborah maintained^ some of^ the houses^ in good condition,^ then^ the rest^ will not fetch a good price."	"Does Deborah manage more than one house?"	Yes	No	Yes	No	1
Right	1960000.32	3	62	-1	 6935.64	Enrich	18	event	entity	NA	NA	NA	NA	NA	"The academic historian^ finished^ the manuscript^ that would shed new light on the field."	"Did somebody finish a manuscript?"	Yes	No	No	Yes	1
Right	1968991.24	3	63	-1	 2719.40	Hartshorne_filler-DE-some	21	NA	NA	NA	NA	NA	NA	NA	"If Barbara tried some of the dishes on the menu, she would be very full."	"Where was Barbara?"	"At a restaurant"	"At the library"	"At the library"	"At a restaurant"	1
Left	1982175.75	3	64	-1	 6403.71	Sturt	47	NA	NA	conjunct	demonstrative	sg	NA	NA	"It was to^ Abby and Alex^ that^ this^ top scientific^ journal^ required^ the researchers^ to disclose^ their funding sources."	"What did the researchers need to disclose?"	"Their funding"	"Their conflicts of interest"	"Their funding"	"Their conflicts of interest"	1
Left	2026032.23	3	65	-1	 5792.35	Hartshorne_filler-UE-some	7	NA	NA	NA	NA	NA	NA	NA	"Carter escaped some of his pursuers by running along the river, and they gnashed their teeth in anger."	"Where did Carter run to escape?"	"Along the river"	"Into the house"	"Along the river"	"Into the house"	1
Right	2035535.11	3	66	-1	 4469.09	Sturt_filler	15	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the managers revealed the employees' personal data."	"What did the bosses reveal?"	"Personal data"	"Market strategies"	"Market strategies"	"Personal data"	1
Right	2045343.23	3	67	-1	 4358.02	Hartshorne_filler-UE-none	60	NA	NA	NA	NA	NA	NA	NA	"Riley rode none of the horses yesterday, and she really regretted it."	"How did Riley feel about not riding horses?"	Bad	Fine	Fine	Bad	1
Left	2055535.80	3	68	-1	 5189.65	Sturt_filler	13	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the cashiers complained about the store conditions."	"What did the cashiers complain about?"	"Store conditions"	Customers	"Store conditions"	Customers	1
Left	2064888.80	3	69	-1	 4435.31	Hartshorne_filler-UE-some	4	NA	NA	NA	NA	NA	NA	NA	"Brooklyn finished some of the work before leaving this afternoon, and then she went home."	"Did Brooklyn go to a club after she left?"	No	Yes	No	Yes	1
Right	2071646.93	3	70	-1	 2319.90	Sturt_filler	16	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the hackers wanted to provide the secret login details."	"Was this sentence about hackers?"	Yes	No	No	Yes	1
Right	2078903.42	3	71	-1	 2711.07	Enrich	27	neutral	event	NA	NA	NA	NA	NA	"The football player^ cursed^ his game^ and so did his teammates."	"Did somebody curse their game?"	Yes	No	No	Yes	1
Right	2092040.34	3	72	-1	 7736.88	Hartshorne_filler-UE-onlysome	29	NA	NA	NA	NA	NA	NA	NA	"Kevin walked only some of the dogs before he saw the news, and after that he quit his dog-walking job."	"What did Kevin used to do for a job?"	"Walk dogs"	"Clean windows"	"Clean windows"	"Walk dogs"	1
Right	2103799.34	3	73	-1	 6466.09	Sturt	24	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ handsome Brazilian^ drummer^ requested^ the singers^ to demonstrate^ the new song."	"Was Germany mentioned in this sentence?"	No	Yes	Yes	No	1
Right	2113335.67	3	74	-1	 3780.84	Hartshorne_filler-UE-all	57	NA	NA	NA	NA	NA	NA	NA	"Kaitlyn described all of the perpetrators to the FBI, and the police began the search."	"What role did Kaitlyn have in the investigation?"	Witness	Prosecutor	Prosecutor	Witness	1
Left	2128640.52	3	75	-1	 4194.80	Enrich	12	event	entity	NA	NA	NA	NA	NA	"The clinical psychologist^ enjoyed^ a dessert^ a little too enthusiastically."	"Was the psychologist enthusiastic?"	Yes	No	Yes	No	1
Right	2136559.56	3	76	-1	 3405.09	Hartshorne_filler-DE-none	76	NA	NA	NA	NA	NA	NA	NA	"If Barbara tried none of the dishes on the menu, then she shouldn't have reviewed the restaurant."	"What did Barbara review?"	"A restaurant"	"A film"	"A film"	"A restaurant"	1
Left	2145528.38	3	77	-1	 4030.59	Sturt_filler	35	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the employees explained the latest updates to the union bylaws."	"What did the employees do?"	"Explain the bylaws"	"Protest the bylaws"	"Explain the bylaws"	"Protest the bylaws"	1
Left	2156344.52	3	78	-1	 4919.59	Hartshorne_filler-DE-onlysome	43	NA	NA	NA	NA	NA	NA	NA	"If Julian brought only some of his paintings to show the collector, then the collector's interest must have been piqued."	"Who was Julian going to show paintings to?"	"A collector"	"An art teacher"	"A collector"	"An art teacher"	1
Left	2227872.75	4	79	-1	 3480.41	Enrich	39	neutral	event	NA	NA	NA	NA	NA	"The exhausted nurse^ watched^ her show^ and her coworkers filled in for her."	"Did the nurse's coworkers help out?"	Yes	No	Yes	No	1
Right	2238048.66	4	80	-1	 4336.35	Hartshorne_filler-UE-onlysome	26	NA	NA	NA	NA	NA	NA	NA	"Donna received only some of the letters that she had been expecting, and she was tired of waiting."	"What has Donna been waiting for?"	Letters	Packages	Packages	Letters	1
Left	2247584.08	4	81	-1	 5350.27	Sturt_filler	1	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the athletes showed their new shoes."	"Did the athletes have new shoes?"	Yes	No	Yes	No	1
Right	2257759.30	4	82	-1	 5343.55	Sturt_filler	22	NA	NA	NA	NA	NA	NA	NA	"It was to each other that the reporters decided to reveal the informant's identity."	"Was this sentence about the police?"	No	Yes	Yes	No	1
Right	2272024.24	4	83	-1	 9247.26	Hartshorne_filler-DE-some	23	NA	NA	NA	NA	NA	NA	NA	"If Christopher started some of the assignments that are due next week, then he could take a break and relax."	"When are the assignments due?"	"Next week"	Tomorrow	Tomorrow	"Next week"	1
Left	2280328.55	4	84	-1	 3281.81	Hartshorne_filler-UE-none	63	NA	NA	NA	NA	NA	NA	NA	"Taylor drew none of the pictures on that wall, and he refused to say who did."	"What pictures were mentioned?"	"The ones on the wall"	"The ones in the book"	"The ones on the wall"	"The ones in the book"	1
Right	2302926.89	4	85	-1	15298.04	Hartshorne	8	NA	NA	NA	NA	NA	onlysome	UE	"Madison explained^ only some of^ the questions^ to the physics class,^ and^ the rest^ will be explained by Sally."	"What class is this sentence about?"	Physics	Biology	Biology	Physics	1
Right	2310774.93	4	86	-1	 3075.82	Enrich	14	neutral	entity	NA	NA	NA	NA	NA	"The aging husband^ recalled^ a novel^ that nobody knew about."	"What did the aging husband do?"	"Recalled a novel"	"Bought flowers"	"Bought flowers"	"Recalled a novel"	1
Right	2319960.60	4	87	-1	 4532.26	Enrich	45	neutral	event	NA	NA	NA	NA	NA	"The drunk girl^ shared^ a ride^ because she wanted to be responsible."	"Was the girl sober?"	No	Yes	Yes	No	1
Right	2341166.87	4	88	-1	16755.52	Sturt	32	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ very lively^ announcer^ told^ the spectators^ to give^ their utmost attention."	"Who was supposed to pay attention?"	"The spectators"	"Holly and Rob"	"Holly and Rob"	"The spectators"	1
Left	2352958.96	4	89	-1	 5069.31	Sturt	40	NA	NA	reciprocal	the	sg	NA	NA	"It was to^ each other^ that^ the^ very overworked^ beefeater^ wanted^ the guides^ to explain^ the new visitation rules."	"Was work easy for the beefeater mentioned in that sentence?"	No	Yes	No	Yes	1
Left	2365535.08	4	90	-1	 5864.82	Hartshorne	36	NA	NA	NA	NA	NA	onlysome	UE	"Dylan covered^ only some of^ the statues^ with the vinyl sheets,^ and^ the rest^ were exposed to the elements."	"Was this sentence about elephant-riding gladiators?"	No	Yes	No	Yes	1
Left	2425887.91	4	91	-1	 8061.98	Sturt	60	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ very excited^ curators^ asked^ the paleontologists^ to reveal^ the latest findings."	"Were any sociologists mentioned in this sentence?"	No	Yes	No	Yes	1
Right	2440686.86	4	92	-1	 8415.52	Hartshorne	39	NA	NA	NA	NA	NA	some	DE	"If^ Morgan examined^ some of^ the patients^ for signs of the new disease,^ then^ the rest^ still wait to be seen."	"Who even is this Morgan fellow?"	"A doctor, apparently"	"A banker, apparently"	"A banker, apparently"	"A doctor, apparently"	1
Left	2455671.75	4	93	-1	 8842.92	Enrich	44	neutral	entity	NA	NA	NA	NA	NA	"The wealthy diplomat^ found^ a plane^ that had been offered at a bargain price."	"Was the diplomat rich?"	Yes	No	Yes	No	1
Right	2523960.07	4	94	-1	 6309.73	Hartshorne_filler-DE-onlysome	38	NA	NA	NA	NA	NA	NA	NA	"If Jasmine improved only some of the chapters in her new textbook, then the editor won't publish it."	"What was Jasmine supposed to be improving?"	"Textbook chapters"	"Novel chapters"	"Novel chapters"	"Textbook chapters"	1
Left	2532559.00	4	95	-1	 3105.00	Sturt_filler	11	NA	NA	NA	NA	NA	NA	NA	"It was to Aaron and Megan that the dentists decided to give a special discount."	"Who gave Aaron and Matt a discount?"	"The dentists"	"The cashiers"	"The dentists"	"The cashiers"	1
Left	2540751.52	4	96	-1	 2475.54	Enrich	4	intension	entity	NA	NA	NA	NA	NA	"The expert builder^ wanted^ a mansion^ that would impress the donors."	"Was the builder a novice?"	No	Yes	No	Yes	1
Left	2552127.62	4	97	-1	 4109.24	Sturt_filler	31	NA	NA	NA	NA	NA	NA	NA	"It was to Marilyn and Hillary that the farmer decided to teach the safety protocols for the heavy machinery."	"Who decided to teach Marilyn and Hillary?"	"The farmer"	"The engineer"	"The farmer"	"The engineer"	1
Left	2569368.39	4	98	-1	 5790.16	Sturt	62	NA	NA	reciprocal	demonstrative	sg	NA	NA	"It was to^ each other^ that^ this^ rather discerning^ shopper^ wanted^ the bakers^ to reveal^ their ingredients."	"Were any butchers mentioned in this sentence?"	No	Yes	Yes	No	1
Right	2577096.11	4	99	-1	 2345.26	Hartshorne_filler-UE-some	12	NA	NA	NA	NA	NA	NA	NA	"Sofia expressed some of her fears to her mother and her father, and Sally reassured her."	"To whom did Sofia express her fears?"	"Her parents"	"Her friend"	"Her friend"	"Her parents"	1
Left	2585447.03	4	100	-1	 3295.75	Hartshorne	32	NA	NA	NA	NA	NA	onlysome	UE	"Brandon backed^ only some of^ the proposals^ put forward by the committee,^ and^ the rest^ have no chance of passing."	"Who puts forward proposals?"	Brandon	"The committee"	"The committee"	Brandon	1
Left	2593135.87	4	101	-1	 2756.96	Hartshorne_filler-DE-onlysome	39	NA	NA	NA	NA	NA	NA	NA	"If Kylie studied only some of the chapters from her chemistry textbook, then she'll need our notes."	"What class is Kylie taking?"	Chemistry	Maths	Chemistry	Maths	1
Left	2602535.85	4	102	-1	 4153.48	Hartshorne_filler-DE-onlysome	44	NA	NA	NA	NA	NA	NA	NA	"If Justin understood only some of the movies by the famous French director, then Troy won't understand any."	"Is it implied that Troy is stupid?"	Yes	No	Yes	No	1
Left	2617800.66	4	103	-1	 2082.66	Enrich	37	event	event	NA	NA	NA	NA	NA	"The bank clerk^ expected^ a robbery^ and told everyone about it."	"Who did the clerk tell?"	Everyone	"No one"	Everyone	"No one"	1
Right	2630224.22	4	104	-1	 2349.45	Enrich	31	event	event	NA	NA	NA	NA	NA	"The elderly politician^ started^ an argument^ that would upset the pundits."	"Was this sentence about somebody giving a stump speech?"	No	Yes	Yes	No	1
Left	2640359.88	4	105	-1	 4115.31	Enrich	20	neutral	entity	NA	NA	NA	NA	NA	"The corporate executive^ found^ a plane^ that returned in time for his appointment."	"What did the executive find?"	"A plane"	"A private car"	"A plane"	"A private car"	1
Left	2719014.94	4	106	-1	 4520.11	Sturt	44	NA	NA	reciprocal	the	pl	NA	NA	"It was to^ each other^ that^ the^ very weary^ travellers^ wanted^ the guides^ to reveal^ the quickest route."	"Who did the travelers want to reveal the route?"	"The guides"	"Molly and Michelle"	"The guides"	"Molly and Michelle"	1
Left	2726104.81	4	107	-1	 2071.70	Sturt_filler	30	NA	NA	NA	NA	NA	NA	NA	"It was to Edward and Stan that the host presented the bottle of aged wine."	"Who did the host present wine to?"	"Edward and Stan"	"Andy and Lisa"	"Edward and Stan"	"Andy and Lisa"	1
